,Link,Company,Location,Title,Date
27,https://seedfund.nsf.gov/awardees/history/details/?company=zepsor-technologies-inc,"ZEPSOR TECHNOLOGIES, INC.","BURLINGTON, MA",SBIR Phase I: Micro-Electromechanical Systems (MEMS)-Based Near-Zero Power Infrared Sensors for Proximity Detection,01/09/2024
28,https://seedfund.nsf.gov/awardees/history/details/?company=banyu-carbon-inc,BANYU CARBON INC,"SEATTLE, WA","SBIR Phase I: CAS: A light-based, energy-generating, carbon removal process",01/08/2024
29,https://seedfund.nsf.gov/awardees/history/details/?company=cabrera-research-lab-llc,CABRERA RESEARCH LAB LLC,"ITHACA, NY",SBIR Phase I: Thinkquery: Empowering People to Thrive in a Complex World,01/08/2024
30,https://seedfund.nsf.gov/awardees/history/details/?company=illuminant-surgical-inc,"ILLUMINANT SURGICAL, INC.","PALO ALTO, CA",SBIR Phase I: Novel Camera-Projector Device Leveraging Markerless Skin Registration and Projected Augmented Reality Software to Enable Navigation for Minimally Invasive Procedures,01/08/2024
31,https://seedfund.nsf.gov/awardees/history/details/?company=imperium-technologies-inc,"IMPERIUM TECHNOLOGIES, INC.","CEDAR PARK, TX",SBIR Phase I: An Industrial Internet of Things (IIoT) Electromechanical Steam Trap for Greenhouse Gas Reduction and Energy Savings,01/08/2024
32,https://seedfund.nsf.gov/awardees/history/details/?company=mellicell-inc,"MELLICELL, INC.","NEWTON, MA",SBIR Phase I: Industrial-Scale Technology for Drug Development in Mature Human Fat Cells,01/08/2024
33,https://seedfund.nsf.gov/awardees/history/details/?company=tiami-llc,TIAMI LLC,"ELK GROVE, CA",SBIR Phase I: Intelligent Repeaters for Pervasive Millimeter-Wave Wireless Broadband Connectivity,01/08/2024
34,https://seedfund.nsf.gov/awardees/history/details/?company=altyx-surgical-inc,"ALTYX SURGICAL, INC.","EVANSTON, IL","SBIR Phase II: A mesh-free, sling-free, minimally invasive treatment for stress urinary incontinence in women",12/20/2023
35,https://seedfund.nsf.gov/awardees/history/details/?company=objective-ed-inc,"OBJECTIVE ED, INC.","ROYAL PALM BEACH, FL",SBIR Phase II: Computer-based co-reading for students with reading disabilities,12/15/2023
36,https://seedfund.nsf.gov/awardees/history/details/?company=beamlink-inc,"BEAMLINK, INC.","PASADENA, CA",SBIR Phase II: Adaptable Ad Hoc Network Architecture for Rapid Infrastructure Development in Disaster Zones,12/14/2023
37,https://seedfund.nsf.gov/awardees/history/details/?company=betafeld-llc,BETAFELD LLC,"CAMBRIDGE, MA",SBIR Phase I: CAS: Upcycling Farm-level Food Waste to Accelerate the Transition to a Circular Economy,12/14/2023
